SECTION SUMMARY
---------------
- chapters: total=12, present=8, placeholders=4
- annex-I-technical-specification: total=1, present=0, placeholders=1
- annex-II-organizations: total=21, present=14, placeholders=7
- annex-III-codes: total=29, present=20, placeholders=9
- annex-IV-individual-results: total=21, present=14, placeholders=7

FULL FILE INVENTORY
-------------------
SECTION                        ITEM  VERSION   SIZE_KB  STATUS                  SHORT_NAME                      REL_PATH
-----------------------------  ----  -------  --------  ----------------------  ------------------------------  ----------------------------------------
annex-I-technical-specific...        00           13.0  placeholder             annexI-technical-specification  annex-I-technical-specification/annexI-technical-specification-v00.docx
annex-II-organizations           01  01          904.6  normal                  ANL                             annex-II-organizations/01-ANL-v01.docx
annex-II-organizations           02  01           33.0  normal                  CIAE                            annex-II-organizations/02-CIAE-v01.docx
annex-II-organizations           03  00           13.0  placeholder             CNPRI                           annex-II-organizations/03-CNPRI-v00.docx
annex-II-organizations           04  01           27.2  normal                  ENEA                            annex-II-organizations/04-ENEA-v01.docx
annex-II-organizations           05  00           13.0  placeholder             GIDROPRESS                      annex-II-organizations/05-GIDROPRESS-v00.docx
annex-II-organizations           06  01           23.0  normal                  IANS                            annex-II-organizations/06-IANS-v01.docx
annex-II-organizations           07  01           31.1  normal                  IBRAE                           annex-II-organizations/07-IBRAE-v01.docx
annex-II-organizations           08  00           13.0  placeholder             IGCAR                           annex-II-organizations/08-IGCAR-v00.docx
annex-II-organizations           09  01           21.1  normal                  JRC                             annex-II-organizations/09-JRC-v01.docx
annex-II-organizations           10  00           13.0  placeholder             KAERI                           annex-II-organizations/10-KAERI-v00.docx
annex-II-organizations           11  01           24.2  normal                  KIT                             annex-II-organizations/11-KIT-v01.docx
annex-II-organizations           12  01           29.2  normal                  NIKIET                          annex-II-organizations/12-NIKIET-v01.docx
annex-II-organizations           13  00           13.0  placeholder             NINE                            annex-II-organizations/13-NINE-v00.docx
annex-II-organizations           14  01           26.9  normal                  NRG                             annex-II-organizations/14-NRG-v01.docx
annex-II-organizations           15  00           13.0  placeholder             PSI                             annex-II-organizations/15-PSI-v00.docx
annex-II-organizations           16  01           32.8  normal                  PUB                             annex-II-organizations/16-PUB-v01.docx
